GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21
0500000US06075,06075,"San Francisco County, California",797271,*****,684164,*****,355969,463,50660,747,1995,252,249085,803,3401,193,2719,546,20335,1113,883,306,19452,1069,113107,*****,73860,2311,1190,381,1770,692,1061,239,7,12,29414,2251,5805,692,2987,522,2818,484
1400000US06075020800,06075020800,"Census Tract 208, San Francisco County, California",6900,693,3509,426,2342,417,101,73,13,18,789,345,0,132,176,211,88,64,0,132,88,64,3391,669,2425,845,0,132,0,132,0,132,0,132,907,464,59,89,14,24,45,66
1400000US06075020900,06075020900,"Census Tract 209, San Francisco County, California",5087,485,2772,415,2095,360,49,52,5,9,574,264,0,132,14,21,35,43,0,132,35,43,2315,545,2027,519,0,132,0,132,0,132,0,132,288,179,0,132,0,132,0,132
1400000US06075022801,06075022801,"Census Tract 228.01, San Francisco County, California",4779,585,2635,394,2077,401,122,140,0,132,303,98,0,132,30,39,103,92,0,132,103,92,2144,526,1385,585,0,132,0,132,0,132,0,132,759,378,0,132,0,132,0,132
1400000US06075022802,06075022802,"Census Tract 228.02, San Francisco County, California",2319,296,1188,295,857,221,49,48,19,28,229,163,0,132,0,132,34,44,0,132,34,44,1131,274,718,278,0,132,188,251,21,33,0,132,180,122,24,26,24,26,0,132
1400000US06075022803,06075022803,"Census Tract 228.03, San Francisco County, California",4747,424,2100,403,1503,302,12,19,0,132,509,176,0,132,0,132,76,71,0,132,76,71,2647,476,1805,487,17,29,8,13,20,17,0,132,688,356,109,81,86,70,23,38
1400000US06075022901,06075022901,"Census Tract 229.01, San Francisco County, California",4519,466,2482,435,1416,370,288,169,0,132,759,319,0,132,0,132,19,21,0,132,19,21,2037,445,1735,472,0,132,0,132,0,132,0,132,258,186,44,45,33,43,11,17
1400000US06075022902,06075022902,"Census Tract 229.02, San Francisco County, California",2687,484,941,219,739,165,6,19,0,132,148,108,0,132,0,132,48,75,0,132,48,75,1746,518,1440,571,7,11,0,132,0,132,0,132,187,177,112,83,57,63,55,63
1400000US06075022903,06075022903,"Census Tract 229.03, San Francisco County, California",3226,376,1543,176,1077,176,22,36,0,132,358,63,0,132,0,132,86,78,0,132,86,78,1683,379,1399,382,0,132,61,87,0,132,0,132,203,159,20,22,9,14,11,17
